sys_time,open_time,open,high,low,close,close_time
2022-09-05 01:35:01.517021,2022-09-05 00:43:00,1564.69,1566.02,1564.52,1566.02,2022-09-05 00:43:59
2022-09-05 01:35:01.517352,2022-09-05 00:44:00,1566.02,1567.93,1566.02,1566.90,2022-09-05 00:44:59
2022-09-05 01:35:01.517462,2022-09-05 00:45:00,1566.88,1566.92,1566.05,1566.05,2022-09-05 00:45:59
2022-09-05 01:35:01.517526,2022-09-05 00:46:00,1566.04,1566.06,1565.43,1565.95,2022-09-05 00:46:59
2022-09-05 01:35:01.517577,2022-09-05 00:47:00,1565.93,1566.37,1565.59,1566.24,2022-09-05 00:47:59
2022-09-05 01:35:01.517646,2022-09-05 00:48:00,1566.41,1568.39,1566.38,1567.87,2022-09-05 00:48:59
2022-09-05 01:35:01.517728,2022-09-05 00:49:00,1567.80,1568.98,1567.59,1568.98,2022-09-05 00:49:59
2022-09-05 01:35:01.517787,2022-09-05 00:50:00,1568.69,1568.98,1568.00,1568.33,2022-09-05 00:50:59
2022-09-05 01:35:01.517865,2022-09-05 00:51:00,1568.45,1568.55,1567.61,1568.04,2022-09-05 00:51:59
2022-09-05 01:35:01.517927,2022-09-05 00:52:00,1568.20,1569.71,1568.20,1568.85,2022-09-05 00:52:59
2022-09-05 01:35:01.518000,2022-09-05 00:53:00,1568.87,1570.00,1568.69,1568.69,2022-09-05 00:53:59
2022-09-05 01:35:01.518054,2022-09-05 00:54:00,1568.78,1568.94,1568.23,1568.47,2022-09-05 00:54:59
2022-09-05 01:35:01.518105,2022-09-05 00:55:00,1568.47,1569.97,1567.95,1569.42,2022-09-05 00:55:59
2022-09-05 01:35:01.518207,2022-09-05 00:56:00,1569.53,1569.74,1568.77,1568.86,2022-09-05 00:56:59
2022-09-05 01:35:01.518314,2022-09-05 00:57:00,1568.72,1568.76,1568.29,1568.70,2022-09-05 00:57:59
2022-09-05 01:35:01.518410,2022-09-05 00:58:00,1568.69,1568.89,1568.29,1568.29,2022-09-05 00:58:59
2022-09-05 01:35:01.518504,2022-09-05 00:59:00,1568.38,1569.10,1568.38,1568.63,2022-09-05 00:59:59
2022-09-05 01:35:01.518594,2022-09-05 01:00:00,1568.57,1569.54,1568.57,1568.79,2022-09-05 01:00:59
2022-09-05 01:35:01.518686,2022-09-05 01:01:00,1568.70,1568.70,1567.52,1567.57,2022-09-05 01:01:59
2022-09-05 01:35:01.518775,2022-09-05 01:02:00,1567.54,1567.58,1566.17,1567.11,2022-09-05 01:02:59
2022-09-05 01:35:01.518864,2022-09-05 01:03:00,1567.10,1568.15,1566.63,1567.61,2022-09-05 01:03:59
2022-09-05 01:35:01.518968,2022-09-05 01:04:00,1567.41,1567.44,1566.83,1567.41,2022-09-05 01:04:59
2022-09-05 01:35:01.519063,2022-09-05 01:05:00,1567.40,1567.41,1566.50,1566.50,2022-09-05 01:05:59
2022-09-05 01:35:01.519154,2022-09-05 01:06:00,1566.27,1566.27,1565.47,1565.61,2022-09-05 01:06:59
2022-09-05 01:35:01.519263,2022-09-05 01:07:00,1565.60,1566.06,1565.21,1566.01,2022-09-05 01:07:59
